"",区站号,省份,站名,纬度,经度
0,58015.0,安徽,砀山,34.27,116.2
1,58016.0,安徽,萧县,34.11,116.58
2,58102.0,安徽,亳州,33.52,115.46
3,58107.0,安徽,临泉,33.01,115.17
4,58108.0,安徽,界首,33.14,115.2
5,58109.0,安徽,太和,33.11,115.37
6,58112.0,安徽,天柱山,30.44,116.27
7,58113.0,安徽,濉溪,33.56,116.45
8,58114.0,安徽,涡阳,33.29,116.11
9,58116.0,安徽,淮北,33.59,116.5
10,58117.0,安徽,利辛,33.08,116.12
11,58118.0,安徽,蒙城,33.16,116.31
12,58122.0,安徽,宿州,33.38,116.59
13,58125.0,安徽,灵璧,33.35,117.31
14,58126.0,安徽,泗县,33.28,117.52
15,58127.0,安徽,怀远,32.59,117.12
16,58128.0,安徽,固镇,33.2,117.21
17,58129.0,安徽,五河,33.09,117.5
18,58202.0,安徽,阜南,32.4,115.34
19,58203.0,安徽,阜阳,32.52,115.44
20,58210.0,安徽,颍上,32.39,116.14
21,58212.0,安徽,凤台,32.43,116.46
22,58214.0,安徽,霍邱,32.2,116.17
23,58215.0,安徽,寿县,32.26,116.47
24,58220.0,安徽,长丰,32.28,117.09
25,58221.0,安徽,蚌埠,32.51,117.18
26,58222.0,安徽,凤阳,32.51,117.33
27,58223.0,安徽,明光,32.48,117.59
28,58224.0,安徽,淮南,32.39,117.01
29,58225.0,安徽,定远,32.32,117.4
30,58234.0,安徽,来安,32.28,118.25
31,58236.0,安徽,滁州,32.21,118.15
32,58240.0,安徽,天长,32.41,119.01
33,58306.0,安徽,金寨,31.41,115.53
34,58311.0,安徽,六安,31.44,116.3
35,58314.0,安徽,霍山,31.24,116.19
36,58316.0,安徽,舒城,31.28,116.55
37,58317.0,安徽,岳西,30.52,116.22
38,58319.0,安徽,桐城,31.04,116.57
39,58320.0,安徽,肥西,31.44,117.08
40,58321.0,安徽,合肥,31.47,117.18
41,58323.0,安徽,肥东,31.53,117.28
42,58326.0,安徽,巢湖,31.35,117.5
43,58327.0,安徽,庐江,31.16,117.17
44,58329.0,安徽,无为,31.2,117.52
45,58330.0,安徽,含山,31.45,118.05
46,58331.0,安徽,和县,31.44,118.22
47,58334.0,安徽,芜湖,31.23,118.22
48,58335.0,安徽,当涂,31.34,118.31
49,58336.0,安徽,马鞍山,31.42,118.34
